"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"03.07.2022","116,500","116,100","117,700","114,100","59,21K","0,43%"
"02.07.2022","116,000","115,600","119,200","113,300","88,34K","0,52%"
"01.07.2022","115,400","113,100","117,000","111,000","80,13K","1,76%"
"30.06.2022","113,400","119,000","119,700","108,200","85,47K","-4,71%"
"29.06.2022","119,000","117,700","124,900","116,900","106,70K","1,19%"
"28.06.2022","117,600","120,500","123,300","116,100","82,39K","-2,16%"
"27.06.2022","120,200","125,100","130,600","119,900","89,61K","-4,07%"
"26.06.2022","125,300","127,400","134,100","125,000","81,20K","-1,65%"
"25.06.2022","127,400","126,600","128,200","121,100","56,36K","0,63%"
"24.06.2022","126,600","122,700","128,800","122,600","80,77K","3,18%"
"23.06.2022","122,700","111,200","122,900","111,000","61,64K","10,44%"
"22.06.2022","111,100","118,900","118,900","111,100","78,99K","-6,40%"
"21.06.2022","118,700","117,600","125,200","115,900","113,55K","1,19%"
"20.06.2022","117,300","114,300","118,000","108,500","105,30K","2,53%"
"19.06.2022","114,400","104,400","115,300","100,000","129,56K","9,58%"
"18.06.2022","104,400","114,500","115,700","97,000","190,66K","-8,66%"
"17.06.2022","114,300","106,600","116,400","106,000","149,36K","7,22%"
"16.06.2022","106,600","118,500","121,000","104,300","150,49K","-9,97%"
"15.06.2022","118,400","118,100","119,400","104,100","329,69K","-0,17%"
"14.06.2022","118,600","132,600","134,300","116,300","322,22K","-10,69%"
"13.06.2022","132,800","158,200","160,000","128,300","243,98K","-16,06%"
"12.06.2022","158,200","166,500","167,200","152,500","94,93K","-4,98%"
"11.06.2022","166,500","174,200","178,400","161,200","83,51K","-4,48%"
"10.06.2022","174,300","185,800","186,600","172,200","80,06K","-6,24%"
"09.06.2022","185,900","186,600","189,900","182,300","49,76K","-0,32%"
"08.06.2022","186,500","187,200","189,600","182,300","48,57K","-0,53%"
"07.06.2022","187,500","189,400","195,400","180,000","78,05K","-0,95%"
"06.06.2022","189,300","187,900","195,600","187,700","76,05K","0,75%"
"05.06.2022","187,900","189,100","191,900","185,900","60,57K","-0,63%"
"04.06.2022","189,100","193,800","195,700","188,500","71,33K","-2,32%"
"03.06.2022","193,600","201,600","202,800","187,400","93,74K","-3,87%"
"02.06.2022","201,400","198,700","203,900","192,300","93,95K","1,46%"
"01.06.2022","198,500","198,500","203,600","193,100","130,28K","0,05%"
"31.05.2022","198,400","204,400","208,600","191,800","196,42K","-2,79%"
"30.05.2022","204,100","186,000","209,100","183,100","136,56K","9,73%"
"29.05.2022","186,000","176,100","188,300","167,700","102,39K","5,68%"
"28.05.2022","176,000","181,000","184,400","174,500","73,63K","-2,60%"
"27.05.2022","180,700","189,300","190,700","176,200","139,81K","-4,39%"
"26.05.2022","189,000","204,400","206,300","185,000","180,26K","-7,44%"
